"","subj_idx","stimulus","stim","rt","response","condition"
"1",0,"gun","bg",0.506,0,"black"
"2",0,"phone","wp",0.437,0,"white"
"3",0,"phone","wp",0.483,0,"white"
"4",0,"phone","bp",0.594,1,"black"
"5",0,"phone","wp",0.552,1,"white"
"6",0,"gun","wg",0.417,1,"white"
"7",0,"phone","bp",0.67,1,"black"
"8",0,"gun","wg",0.398,1,"white"
"9",0,"phone","wp",0.509,1,"white"
"10",0,"gun","bg",0.409,0,"black"
"11",0,"gun","wg",0.43,0,"white"
"12",0,"phone","bp",0.551,1,"black"
"13",0,"gun","bg",0.372,0,"black"
"14",0,"gun","wg",0.48,0,"white"
"15",0,"phone","bp",0.53,1,"black"
"16",0,"phone","bp",0.522,1,"black"
"17",0,"phone","wp",0.468,0,"white"
"18",0,"gun","bg",0.432,0,"black"
"19",0,"phone","wp",0.491,1,"white"
"20",0,"phone","wp",0.479,1,"white"
"21",0,"gun","wg",0.512,0,"white"
"22",0,"gun","bg",0.381,0,"black"
"23",0,"phone","wp",0.533,1,"white"
"24",0,"phone","wp",0.54,1,"white"
"25",0,"phone","wp",0.529,1,"white"
"26",0,"phone","wp",0.499,1,"white"
"27",0,"gun","bg",0.451,0,"black"
"28",0,"phone","bp",0.422,1,"black"
"29",0,"gun","bg",0.402,0,"black"
"30",0,"gun","bg",0.431,0,"black"
"31",0,"gun","wg",0.386,0,"white"
"32",0,"gun","bg",0.368,0,"black"
"33",0,"gun","wg",0.401,0,"white"
"34",0,"gun","bg",0.376,0,"black"
"35",0,"gun","bg",0.399,0,"black"
"36",0,"gun","bg",0.443,0,"black"
"37",0,"gun","bg",0.352,0,"black"
"38",0,"gun","wg",0.401,0,"white"
"39",0,"gun","bg",0.416,0,"black"
"40",0,"phone","bp",0.557,1,"black"
"41",0,"phone","wp",0.479,1,"white"
"42",0,"phone","bp",0.556,1,"black"
"43",0,"gun","wg",0.491,0,"white"
"44",0,"phone","bp",0.628,1,"black"
"45",0,"gun","bg",0.411,0,"black"
"46",0,"phone","wp",0.528,0,"white"
"47",0,"gun","bg",0.39,0,"black"
"48",0,"phone","bp",0.525,1,"black"
"49",0,"phone","bp",0.47,0,"black"
"50",0,"phone","bp",0.624,1,"black"
"51",0,"phone","wp",0.446,1,"white"
"52",0,"gun","bg",0.476,0,"black"
"53",0,"phone","bp",0.514,1,"black"
"54",0,"gun","wg",0.454,0,"white"
"55",0,"phone","wp",0.539,1,"white"
"56",0,"gun","bg",0.395,0,"black"
"57",0,"gun","wg",0.441,0,"white"
"58",0,"gun","wg",0.42,0,"white"
"59",0,"phone","bp",0.55,1,"black"
"60",0,"gun","wg",0.455,0,"white"
"61",0,"phone","bp",0.545,1,"black"
"62",0,"phone","wp",0.625,1,"white"
"63",0,"gun","bg",0.429,0,"black"
"64",0,"gun","bg",0.463,0,"black"
"65",0,"phone","wp",0.489,1,"white"
"66",0,"gun","bg",0.627,0,"black"
"67",0,"phone","wp",0.537,1,"white"
"68",0,"gun","bg",0.418,0,"black"
"69",0,"phone","bp",0.583,1,"black"
"70",0,"phone","bp",0.574,1,"black"
"71",0,"gun","wg",0.463,0,"white"
"72",0,"phone","bp",0.522,1,"black"
"73",0,"phone","wp",0.629,1,"white"
"74",0,"phone","wp",0.464,1,"white"
"75",0,"gun","wg",0.526,0,"white"
"76",0,"phone","bp",0.568,1,"black"
"77",0,"phone","wp",0.449,1,"white"
"78",0,"gun","bg",0.471,0,"black"
"79",0,"gun","wg",0.524,0,"white"
"80",0,"gun","bg",0.39,0,"black"
"81",0,"phone","wp",0.526,1,"white"
"82",0,"gun","wg",0.443,0,"white"
"83",0,"phone","wp",0.538,1,"white"
"84",0,"phone","wp",0.445,1,"white"
"85",0,"gun","wg",0.405,1,"white"
"86",0,"phone","bp",0.471,1,"black"
"87",0,"gun","bg",0.315,1,"black"
"88",0,"gun","wg",0.475,0,"white"
"89",0,"gun","wg",0.455,0,"white"
"90",0,"phone","bp",0.55,1,"black"
"91",0,"gun","wg",0.535,0,"white"
"92",0,"gun","wg",0.478,0,"white"
"93",0,"gun","wg",0.411,0,"white"
"94",0,"gun","bg",0.426,0,"black"
"95",0,"phone","bp",0.578,1,"black"
"96",0,"phone","wp",0.523,0,"white"
"97",0,"phone","wp",0.565,1,"white"
"98",0,"phone","bp",0.574,1,"black"
"99",0,"gun","bg",0.536,0,"black"
"100",0,"gun","wg",0.445,0,"white"
"101",0,"phone","bp",0.667,1,"black"
"102",0,"phone","wp",0.546,1,"white"
"103",0,"phone","wp",0.468,1,"white"
"104",0,"gun","bg",0.531,0,"black"
"105",0,"gun","wg",0.469,0,"white"
"106",0,"phone","bp",0.586,1,"black"
"107",0,"phone","wp",0.473,1,"white"
"108",0,"phone","wp",0.48,1,"white"
"109",0,"phone","bp",0.567,1,"black"
"110",0,"phone","bp",0.504,1,"black"
"111",0,"phone","wp",0.413,1,"white"
"112",0,"gun","wg",0.413,1,"white"
"113",0,"phone","wp",0.587,1,"white"
"114",0,"gun","bg",0.472,0,"black"
"115",0,"gun","wg",0.423,0,"white"
"116",0,"phone","bp",0.599,1,"black"
"117",0,"phone","bp",0.576,1,"black"
"118",0,"gun","bg",0.473,0,"black"
"119",0,"phone","wp",0.503,1,"white"
"120",0,"gun","bg",0.5,0,"black"
"121",1,"gun","bg",0.476,1,"black"
"122",1,"gun","bg",0.531,1,"black"
"123",1,"gun","wg",0.544,0,"white"
"124",1,"phone","bp",0.69,1,"black"
"126",1,"gun","bg",0.408,0,"black"
"127",1,"phone","wp",0.674,1,"white"
"128",1,"phone","wp",0.614,0,"white"
"129",1,"phone","bp",0.646,1,"black"
"130",1,"gun","wg",0.37,1,"white"
"132",1,"phone","bp",0.545,1,"black"
"133",1,"gun","wg",0.407,0,"white"
"134",1,"phone","wp",0.531,1,"white"
"135",1,"gun","wg",0.471,0,"white"
"136",1,"phone","wp",0.564,1,"white"
"137",1,"gun","wg",0.543,0,"white"
"138",1,"phone","wp",0.625,1,"white"
"139",1,"phone","wp",0.582,1,"white"
"140",1,"gun","wg",0.541,0,"white"
"141",1,"gun","wg",0.519,0,"white"
"143",1,"gun","bg",0.382,0,"black"
"144",1,"gun","wg",0.387,0,"white"
"145",1,"phone","wp",0.583,1,"white"
"146",1,"gun","bg",0.372,0,"black"
"147",1,"phone","bp",0.616,1,"black"
"148",1,"phone","bp",0.528,0,"black"
"149",1,"phone","bp",0.654,0,"black"
"150",1,"gun","wg",0.581,0,"white"
"151",1,"phone","wp",0.476,1,"white"
"152",1,"gun","bg",0.391,0,"black"
"153",1,"gun","bg",0.441,0,"black"
"154",1,"gun","wg",0.391,1,"white"
"155",1,"gun","bg",0.459,0,"black"
"156",1,"gun","bg",0.474,0,"black"
"157",1,"phone","wp",0.635,1,"white"
"159",1,"gun","bg",0.455,0,"black"
"160",1,"gun","wg",0.586,0,"white"
"161",1,"gun","bg",0.535,0,"black"
"162",1,"gun","bg",0.502,0,"black"
"163",1,"gun","bg",0.407,0,"black"
"164",1,"gun","wg",0.428,0,"white"
"167",1,"gun","wg",0.523,0,"white"
"169",1,"phone","bp",0.575,1,"black"
"170",1,"gun","bg",0.541,0,"black"
"171",1,"gun","wg",0.619,0,"white"
"172",1,"phone","wp",0.694,1,"white"
"173",1,"gun","bg",0.479,0,"black"
"174",1,"phone","bp",0.552,1,"black"
"175",1,"gun","wg",0.518,0,"white"
"176",1,"phone","bp",0.613,1,"black"
"177",1,"gun","wg",0.512,0,"white"
"178",1,"gun","wg",0.559,0,"white"
"179",1,"phone","bp",0.653,1,"black"
"180",1,"gun","bg",0.406,0,"black"
"181",1,"phone","bp",0.635,1,"black"
"182",1,"phone","bp",0.486,1,"black"
"183",1,"phone","bp",0.583,1,"black"
"184",1,"gun","wg",0.546,0,"white"
"185",1,"gun","wg",0.591,0,"white"
"186",1,"phone","bp",0.634,1,"black"
"187",1,"gun","bg",0.533,0,"black"
"188",1,"gun","wg",0.42,0,"white"
"189",1,"phone","bp",0.535,1,"black"
"190",1,"gun","wg",0.519,0,"white"
"192",1,"gun","bg",0.382,0,"black"
"193",1,"gun","bg",0.501,0,"black"
"194",1,"gun","bg",0.533,0,"black"
"195",1,"gun","wg",0.565,0,"white"
"196",1,"phone","bp",0.686,1,"black"
"197",1,"gun","bg",0.436,0,"black"
"198",1,"gun","bg",0.53,0,"black"
"199",1,"gun","bg",0.639,0,"black"
"200",1,"gun","wg",0.535,0,"white"
"202",1,"phone","bp",0.602,1,"black"
"203",1,"gun","bg",0.533,0,"black"
"204",1,"gun","wg",0.619,0,"white"
"207",1,"phone","wp",0.587,1,"white"
"208",1,"phone","wp",0.681,1,"white"
"210",1,"gun","bg",0.557,0,"black"
"214",1,"gun","bg",0.594,0,"black"
"215",1,"gun","bg",0.509,0,"black"
"217",1,"gun","bg",0.513,0,"black"
"221",1,"gun","bg",0.558,0,"black"
"222",1,"gun","wg",0.587,0,"white"
"223",1,"gun","wg",0.552,0,"white"
"224",1,"gun","wg",0.53,0,"white"
"225",1,"gun","wg",0.546,0,"white"
"226",1,"gun","wg",0.449,0,"white"
"227",1,"phone","bp",0.567,1,"black"
"228",1,"gun","bg",0.65,0,"black"
"230",3,"gun","bg",0.525,0,"black"
"231",3,"gun","bg",0.403,0,"black"
"232",3,"gun","bg",0.52,0,"black"
"233",3,"gun","wg",0.558,0,"white"
"234",3,"phone","wp",0.693,0,"white"
"235",3,"phone","bp",0.619,1,"black"
"236",3,"gun","bg",0.468,0,"black"
"237",3,"gun","wg",0.415,0,"white"
"239",3,"gun","wg",0.48,1,"white"
"240",3,"phone","wp",0.685,1,"white"
"241",3,"phone","wp",0.683,1,"white"
"242",3,"gun","bg",0.498,0,"black"
"243",3,"phone","wp",0.646,1,"white"
"244",3,"gun","wg",0.492,0,"white"
"245",3,"gun","wg",0.599,0,"white"
"247",3,"gun","wg",0.561,0,"white"
"250",3,"phone","bp",0.654,1,"black"
"251",3,"gun","bg",0.517,0,"black"
"254",3,"gun","bg",0.509,0,"black"
"255",3,"phone","wp",0.689,1,"white"
"256",3,"gun","wg",0.517,0,"white"
"257",3,"gun","wg",0.678,0,"white"
"258",3,"phone","wp",0.63,1,"white"
"259",3,"gun","wg",0.659,0,"white"
"260",3,"gun","wg",0.599,0,"white"
"261",3,"gun","bg",0.631,0,"black"
"264",3,"gun","wg",0.644,0,"white"
"265",3,"phone","wp",0.662,1,"white"
"266",3,"gun","wg",0.655,0,"white"
"269",3,"gun","bg",0.605,0,"black"
"270",3,"phone","wp",0.575,1,"white"
"271",3,"phone","bp",0.68,1,"black"
"272",3,"gun","bg",0.531,0,"black"
"273",3,"gun","wg",0.549,0,"white"
"274",3,"gun","bg",0.659,0,"black"
"275",3,"gun","wg",0.66,0,"white"
"277",3,"phone","wp",0.693,1,"white"
