fall_nr	klasse_nr	schueler_nr	geschlecht	beliebt	leistung	unlust
1	1	1	0	12	21,2	22
2	1	2	1	17	23,6	24
3	1	3	0	9	17,8	25
4	1	4	0	7	17,8	25
5	1	5	1	25	25,8	20
6	1	6	1	4	20,8	22,5
7	1	7	0	19	11,2	22
8	1	8	1	21	12,6	21,5
9	1	9	1	12	14,8	25
10	1	10	1	24	20,8	20
11	1	11	1	27	17,8	20
12	1	12	1	26	23,8	20
13	1	13	1	22	21,8	20
14	1	14	0	10	20,8	25
15	1	15	1	27	18	21
16	1	16	0	21	20,8	22,5
17	1	17	0	23	6,2	22
18	1	18	0	3	22,8	22,5
19	1	19	0	3	17,8	25
20	1	20	0	13	17,8	22,5
21	1	21	1	25	18	23,5
22	1	22	0	14	10,8	25
23	1	23	1	13	21,2	24,5
24	2	1	0	13	22,4	23
25	2	2	0	13	22	23,5
26	2	3	1	2	22,2	22
27	2	4	1	17	16,4	23
28	2	5	0	7	22	21
29	2	6	0	25	14	23,5
30	2	7	0	2	23,6	24
31	2	8	1	12	19,6	24
32	2	9	0	16	21	21
33	2	10	0	11	19	23,5
34	2	11	0	21	14,8	22,5
35	2	12	1	13	19	23,5
36	2	13	1	31	12,8	20
37	2	14	1	15	15,6	24
38	2	15	0	12	17,8	22,5
39	2	16	0	15	17,6	24
40	2	17	0	23	15,6	24
41	2	18	1	14	16,4	23
42	2	19	0	16	14	23,5
43	2	20	0	24	19,4	23
44	2	21	1	12	20,8	22,5
45	2	22	1	13	26,4	23
46	2	23	1	30	21,6	19
47	3	1	1	22	12,6	21,5
48	3	2	0	15	20,8	20
49	3	3	0	16	15,4	23
50	3	4	0	18	15,4	23
51	3	5	0	21	21,4	23
52	3	6	1	19	24,2	19,5
53	3	7	1	24	19,4	23
54	3	8	1	12	17,4	23
55	3	9	1	8	20,6	21,5
56	3	10	0	33	14	21
57	3	11	1	7	20,4	23
58	3	12	0	22	13,4	23
59	3	13	1	18	19,4	23
60	3	14	0	7	26	18,5
61	3	15	0	9	19,4	23
62	3	16	0	30	12,8	22,5
63	3	17	0	3	28,8	22,5
64	3	18	1	26	16,2	22
65	3	19	1	20	14,4	23
66	3	20	0	26	14,4	23
67	3	21	1	24	20,2	22
68	4	1	1	7	27,865	21,16875
69	4	2	0	4	18,275	21,90625
70	4	3	1	10	22,95	21,0625
71	4	4	0	4	22,24	21,95
72	4	5	0	4	27,0616666666667	20,9229166666667
73	4	6	1	25	11,78	20,025
74	4	7	1	15	22,6566666666667	21,4291666666667
75	4	8	1	6	31,8716666666667	18,6604166666667
76	4	9	0	4	30,385	21,76875
77	4	10	1	4	29,04	18,45
78	4	11	1	10	29,52	20,35
79	4	12	1	4	24,1616666666667	18,2979166666667
80	4	13	0	11	18,1283333333333	19,5895833333333
81	4	14	1	29	13,28	18,15
82	4	15	1	4	31,2533333333333	20,6833333333333
83	4	16	0	6	24,24	21,95
