"","subj_idx","dangerous","weapon","rt","response","condition","stimulus"
"84",2,1,0,0.606,1,"dangerous","phone"
"85",2,1,1,0.401,0,"dangerous","gun"
"86",2,1,1,0.336,0,"dangerous","gun"
"87",2,1,0,0.548,0,"dangerous","phone"
"88",2,0,1,0.466,1,"harmless","gun"
"89",2,0,1,0.617,0,"harmless","gun"
"90",2,1,0,0.44,0,"dangerous","phone"
"91",2,1,0,0.575,1,"dangerous","phone"
"92",2,1,1,0.445,1,"dangerous","gun"
"93",2,1,1,0.452,0,"dangerous","gun"
"94",2,1,1,0.32,0,"dangerous","gun"
"95",2,0,0,0.46,1,"harmless","phone"
"96",2,1,0,0.425,0,"dangerous","phone"
"97",2,1,1,0.546,0,"dangerous","gun"
"98",2,0,1,0.514,0,"harmless","gun"
"99",2,1,1,0.493,0,"dangerous","gun"
"100",2,0,1,0.469,0,"harmless","gun"
"101",2,0,0,0.612,1,"harmless","phone"
"102",2,1,0,0.699,1,"dangerous","phone"
"103",2,1,0,0.504,1,"dangerous","phone"
"104",2,1,1,0.501,0,"dangerous","gun"
"105",2,0,0,0.584,1,"harmless","phone"
"106",2,1,0,0.459,1,"dangerous","phone"
"107",2,1,0,0.492,1,"dangerous","phone"
"108",2,1,0,0.463,1,"dangerous","phone"
"109",2,0,0,0.578,1,"harmless","phone"
"110",2,0,0,0.447,1,"harmless","phone"
"111",2,0,0,0.48,1,"harmless","phone"
"112",2,0,1,0.548,0,"harmless","gun"
"113",2,1,1,0.562,0,"dangerous","gun"
"114",2,0,0,0.625,1,"harmless","phone"
"115",2,1,0,0.494,1,"dangerous","phone"
"116",2,1,0,0.497,1,"dangerous","phone"
"117",2,0,1,0.598,0,"harmless","gun"
"118",2,0,0,0.533,1,"harmless","phone"
"119",2,1,1,0.554,0,"dangerous","gun"
"120",2,0,1,0.509,0,"harmless","gun"
"121",2,1,0,0.562,1,"dangerous","phone"
"122",2,0,0,0.551,1,"harmless","phone"
"123",2,0,0,0.54,1,"harmless","phone"
"124",2,1,1,0.544,0,"dangerous","gun"
"125",2,0,0,0.533,1,"harmless","phone"
"126",2,0,1,0.476,0,"harmless","gun"
"127",2,1,1,0.596,1,"dangerous","gun"
"128",2,1,1,0.54,0,"dangerous","gun"
"129",2,0,1,0.429,0,"harmless","gun"
"130",2,1,0,0.663,1,"dangerous","phone"
"131",2,1,1,0.536,0,"dangerous","gun"
"132",2,0,1,0.538,0,"harmless","gun"
"133",2,1,0,0.607,1,"dangerous","phone"
"134",2,0,0,0.563,1,"harmless","phone"
"135",2,1,1,0.522,0,"dangerous","gun"
"136",2,0,1,0.563,0,"harmless","gun"
"137",2,1,1,0.477,0,"dangerous","gun"
"138",2,0,0,0.458,1,"harmless","phone"
"139",2,0,0,0.505,1,"harmless","phone"
"140",2,1,1,0.515,0,"dangerous","gun"
"141",2,1,0,0.572,1,"dangerous","phone"
"142",2,0,0,0.582,1,"harmless","phone"
"143",2,0,1,0.479,0,"harmless","gun"
"144",2,0,1,0.619,0,"harmless","gun"
"145",2,0,0,0.703,1,"harmless","phone"
"146",2,1,1,0.389,0,"dangerous","gun"
"147",2,0,1,0.406,0,"harmless","gun"
"148",2,1,0,0.565,1,"dangerous","phone"
"149",2,0,0,0.494,1,"harmless","phone"
"150",2,1,1,0.461,0,"dangerous","gun"
"151",2,0,0,0.587,1,"harmless","phone"
"152",2,1,1,0.405,0,"dangerous","gun"
"153",2,0,1,0.358,0,"harmless","gun"
"154",2,1,1,0.44,0,"dangerous","gun"
"155",2,1,1,0.392,0,"dangerous","gun"
"156",2,1,1,0.411,0,"dangerous","gun"
"157",2,1,1,0.397,0,"dangerous","gun"
"158",2,0,1,0.35,0,"harmless","gun"
"159",2,0,0,0.609,1,"harmless","phone"
"160",2,1,0,0.62,1,"dangerous","phone"
"161",2,0,0,0.485,1,"harmless","phone"
"162",2,0,1,0.483,0,"harmless","gun"
"163",2,0,1,0.401,0,"harmless","gun"
"164",2,0,0,0.578,1,"harmless","phone"
"165",2,1,0,0.589,1,"dangerous","phone"
"166",2,0,1,0.6,0,"harmless","gun"
"167",2,1,1,0.382,0,"dangerous","gun"
"168",2,0,0,0.529,1,"harmless","phone"
"169",2,0,1,0.542,0,"harmless","gun"
"170",2,1,1,0.426,0,"dangerous","gun"
"171",2,0,1,0.425,0,"harmless","gun"
"172",2,1,0,0.585,1,"dangerous","phone"
"173",2,0,0,0.561,1,"harmless","phone"
"174",2,0,1,0.524,0,"harmless","gun"
"175",2,0,1,0.421,0,"harmless","gun"
"176",2,1,1,0.483,0,"dangerous","gun"
"177",2,1,0,0.559,1,"dangerous","phone"
"178",2,1,1,0.537,0,"dangerous","gun"
"179",2,1,1,0.404,0,"dangerous","gun"
"180",2,0,1,0.501,0,"harmless","gun"
"181",2,0,0,0.61,1,"harmless","phone"
"182",2,0,0,0.57,1,"harmless","phone"
"183",2,1,1,0.518,0,"dangerous","gun"
"184",2,1,0,0.592,1,"dangerous","phone"
"185",2,1,1,0.474,0,"dangerous","gun"
"186",2,0,1,0.502,0,"harmless","gun"
"187",2,1,1,0.435,0,"dangerous","gun"
"188",2,0,0,0.593,1,"harmless","phone"
"189",2,1,1,0.539,0,"dangerous","gun"
"190",2,1,1,0.422,1,"dangerous","gun"
"191",2,1,0,0.592,1,"dangerous","phone"
"192",2,0,1,0.506,0,"harmless","gun"
"193",2,0,1,0.401,0,"harmless","gun"
"194",2,1,1,0.434,0,"dangerous","gun"
"195",2,0,1,0.481,0,"harmless","gun"
"196",2,1,1,0.381,0,"dangerous","gun"
"197",2,0,1,0.383,0,"harmless","gun"
"198",2,1,0,0.703,1,"dangerous","phone"
"199",2,0,0,0.688,1,"harmless","phone"
"200",2,1,1,0.517,0,"dangerous","gun"
"201",2,0,1,0.626,0,"harmless","gun"
"202",2,1,1,0.456,0,"dangerous","gun"
"203",2,1,1,0.436,0,"dangerous","gun"
"204",3,0,0,0.565,1,"harmless","phone"
"205",3,0,0,0.524,1,"harmless","phone"
"206",3,1,1,0.535,0,"dangerous","gun"
"207",3,1,0,0.59,1,"dangerous","phone"
"208",3,0,1,0.421,0,"harmless","gun"
"209",3,0,1,0.373,0,"harmless","gun"
"210",3,1,0,0.472,1,"dangerous","phone"
"211",3,0,1,0.405,0,"harmless","gun"
"212",3,1,0,0.582,1,"dangerous","phone"
"213",3,0,1,0.397,0,"harmless","gun"
"214",3,1,1,0.399,0,"dangerous","gun"
"215",3,1,0,0.559,1,"dangerous","phone"
"216",3,0,0,0.431,1,"harmless","phone"
"217",3,0,0,0.416,1,"harmless","phone"
"218",3,1,1,0.404,0,"dangerous","gun"
"219",3,1,1,0.406,0,"dangerous","gun"
"220",3,0,0,0.504,1,"harmless","phone"
"221",3,0,0,0.487,1,"harmless","phone"
"222",3,0,1,0.392,0,"harmless","gun"
"223",3,1,1,0.444,0,"dangerous","gun"
"224",3,0,0,0.525,1,"harmless","phone"
"225",3,1,0,0.493,1,"dangerous","phone"
"226",3,1,0,0.512,1,"dangerous","phone"
"227",3,1,0,0.479,1,"dangerous","phone"
"228",3,1,1,0.482,0,"dangerous","gun"
"229",3,1,0,0.53,1,"dangerous","phone"
"230",3,0,1,0.42,0,"harmless","gun"
"231",3,1,0,0.471,1,"dangerous","phone"
"232",3,1,0,0.475,1,"dangerous","phone"
"233",3,1,1,0.477,0,"dangerous","gun"
"234",3,1,1,0.413,0,"dangerous","gun"
"235",3,0,1,0.451,0,"harmless","gun"
"236",3,0,0,0.583,1,"harmless","phone"
"237",3,1,1,0.468,0,"dangerous","gun"
"238",3,1,1,0.468,0,"dangerous","gun"
"239",3,0,1,0.406,0,"harmless","gun"
"240",3,1,0,0.46,1,"dangerous","phone"
"241",3,0,1,0.399,0,"harmless","gun"
"242",3,1,1,0.468,0,"dangerous","gun"
"243",3,0,0,0.567,1,"harmless","phone"
"244",3,1,1,0.471,0,"dangerous","gun"
"245",3,0,1,0.441,0,"harmless","gun"
"246",3,0,1,0.429,0,"harmless","gun"
"247",3,1,1,0.432,0,"dangerous","gun"
"248",3,0,1,0.403,0,"harmless","gun"
"249",3,0,0,0.536,1,"harmless","phone"
"250",3,1,0,0.471,1,"dangerous","phone"
"251",3,1,1,0.457,0,"dangerous","gun"
"252",3,1,0,0.522,1,"dangerous","phone"
"253",3,1,1,0.427,0,"dangerous","gun"
"254",3,1,0,0.414,1,"dangerous","phone"
"255",3,0,0,0.483,1,"harmless","phone"
"256",3,0,0,0.486,1,"harmless","phone"
"257",3,0,0,0.474,1,"harmless","phone"
"258",3,1,1,0.413,0,"dangerous","gun"
"259",3,1,1,0.386,0,"dangerous","gun"
"260",3,0,0,0.504,1,"harmless","phone"
"261",3,0,1,0.407,0,"harmless","gun"
"262",3,0,1,0.427,0,"harmless","gun"
"263",3,1,0,0.431,1,"dangerous","phone"
"264",3,0,1,0.453,0,"harmless","gun"
"265",3,0,1,0.409,0,"harmless","gun"
"266",3,0,0,0.461,1,"harmless","phone"
"267",3,1,0,0.497,1,"dangerous","phone"
"268",3,0,1,0.42,0,"harmless","gun"
"269",3,0,0,0.521,1,"harmless","phone"
"270",3,0,0,0.477,1,"harmless","phone"
"271",3,1,1,0.464,0,"dangerous","gun"
"272",3,1,1,0.456,0,"dangerous","gun"
"273",3,0,1,0.426,0,"harmless","gun"
"274",3,0,0,0.525,1,"harmless","phone"
"275",3,1,1,0.445,0,"dangerous","gun"
"276",3,1,1,0.432,0,"dangerous","gun"
"277",3,1,1,0.453,0,"dangerous","gun"
"278",3,0,0,0.489,1,"harmless","phone"
"279",3,0,0,0.445,1,"harmless","phone"
"280",3,0,1,0.434,0,"harmless","gun"
"281",3,0,0,0.518,1,"harmless","phone"
"282",3,0,1,0.457,0,"harmless","gun"
"283",3,1,1,0.508,0,"dangerous","gun"
"284",3,1,1,0.414,0,"dangerous","gun"
"285",3,1,0,0.517,1,"dangerous","phone"
