"","subject","side.white_phone","skin_col.white_phone","weapon.white_phone","latency_for_dm.white_phone","side.black_phone","skin_col.black_phone","weapon.black_phone","latency_for_dm.black_phone","side.white_gun","skin_col.white_gun","weapon.white_gun","latency_for_dm.white_gun","side.black_gun","skin_col.black_gun","weapon.black_gun","latency_for_dm.black_gun"
"1","0","0","0","0",0.511892857142857,"0","1","0",0.560964285714286,"0","0","1",0.457304347826087,"0","1","1",0.4382
"69","1","1","0","0",0.657705882352941,"1","1","0",0.659576923076923,"1","0","1",0.54048275862069,"1","1","1",0.49
"70","3","1","0","0",0.663161290322581,"1","1","0",0.723416666666667,"1","0","1",0.578,"1","1","1",0.561769230769231
"71","4","1","0","0",0.560454545454545,"1","1","0",0.567333333333333,"1","0","1",0.471777777777778,"1","1","1",0.433171428571429
"2","5","0","0","0",0.5196,"0","1","0",0.539607142857143,"0","0","1",0.445,"0","1","1",0.420387096774194
"3","6","0","0","0",0.575387096774194,"0","1","0",0.6323125,"0","0","1",0.529833333333333,"0","1","1",0.465058823529412
"72","7","1","0","0",0.594138888888889,"1","1","0",0.648,"1","0","1",0.504285714285714,"1","1","1",0.476068965517241
"73","8","1","0","0",0.5405,"1","1","0",0.586033333333333,"1","0","1",0.4582,"1","1","1",0.4005
"4","9","0","0","0",0.624391304347826,"0","1","0",0.671666666666667,"0","0","1",0.538478260869565,"0","1","1",0.50025
"74","10","1","0","0",0.519583333333333,"1","1","0",0.523222222222222,"1","0","1",0.487461538461538,"1","1","1",0.416923076923077
"5","11","0","0","0",0.50164,"0","1","0",0.514814814814815,"0","0","1",0.401766666666667,"0","1","1",0.366875
"75","12","1","0","0",0.682521739130435,"1","1","0",0.725375,"1","0","1",0.567619047619048,"1","1","1",0.53448275862069
"76","13","1","0","0",0.670545454545455,"1","1","0",0.674851851851852,"1","0","1",0.534971428571429,"1","1","1",0.497730769230769
"77","14","1","0","0",0.619416666666667,"1","1","0",0.633709677419355,"1","0","1",0.5404,"1","1","1",0.496657142857143
"6","15","0","0","0",0.512757575757576,"0","1","0",0.559615384615385,"0","0","1",0.444896551724138,"0","1","1",0.41825
"78","16","1","0","0",0.6004,"1","1","0",0.610882352941176,"1","0","1",0.512878787878788,"1","1","1",0.487205128205128
"7","17","0","0","0",0.532033333333333,"0","1","0",0.569428571428571,"0","0","1",0.449681818181818,"0","1","1",0.445193548387097
"8","18","0","0","0",0.628064516129032,"0","1","0",0.637208333333333,"0","0","1",0.512277777777778,"0","1","1",0.476555555555556
"79","19","1","0","0",0.54,"1","1","0",0.5912,"1","0","1",0.478434782608696,"1","1","1",0.427413793103448
"80","20","1","0","0",0.545548387096774,"1","1","0",0.539060606060606,"1","0","1",0.47915,"1","1","1",0.453272727272727
"9","21","0","0","0",0.511416666666667,"0","1","0",0.601,"0","0","1",0.45459375,"0","1","1",0.417777777777778
"10","22","0","0","0",0.533903225806452,"0","1","0",0.5809375,"0","0","1",0.4922,"0","1","1",0.49537037037037
"81","23","1","0","0",0.640451612903226,"1","1","0",0.7013125,"1","0","1",0.53171875,"1","1","1",0.508545454545455
"11","24","0","0","0",0.591888888888889,"0","1","0",0.578551724137931,"0","0","1",0.468361111111111,"0","1","1",0.462757575757576
"12","25","0","0","0",0.574862068965517,"0","1","0",0.609,"0","0","1",0.518290322580645,"0","1","1",0.468379310344828
"13","26","0","0","0",0.47948,"0","1","0",0.530733333333333,"0","0","1",0.436115384615385,"0","1","1",0.3655
"82","27","1","0","0",0.559535714285714,"1","1","0",0.616909090909091,"1","0","1",0.5193125,"1","1","1",0.5171875
"83","28","1","0","0",0.641368421052632,"1","1","0",0.67309375,"1","0","1",0.528190476190476,"1","1","1",0.503351351351351
"84","29","1","0","0",0.621227272727273,"1","1","0",0.63225,"1","0","1",0.518857142857143,"1","1","1",0.47052
"14","30","0","0","0",0.572444444444444,"0","1","0",0.576357142857143,"0","0","1",0.490071428571429,"0","1","1",0.421411764705882
"15","31","0","0","0",0.495833333333333,"0","1","0",0.501526315789474,"0","0","1",0.470321428571429,"0","1","1",0.4529
"85","32","1","0","0",0.674148148148148,"1","1","0",0.704903225806452,"1","0","1",0.528827586206897,"1","1","1",0.509892857142857
"86","33","1","0","0",0.669689655172414,"1","1","0",0.730125,"1","0","1",0.532464285714286,"1","1","1",0.5225
"87","34","1","0","0",0.5676,"1","1","0",0.580903225806452,"1","0","1",0.528068965517241,"1","1","1",0.489826086956522
"88","35","1","0","0",0.6595625,"1","1","0",0.685714285714286,"1","0","1",0.577321428571429,"1","1","1",0.5702
"89","36","1","0","0",0.570318181818182,"1","1","0",0.640961538461538,"1","0","1",0.452894736842105,"1","1","1",0.43936
"16","37","0","0","0",0.58759375,"0","1","0",0.62884,"0","0","1",0.49404,"0","1","1",0.478823529411765
"17","39","0","0","0",0.568545454545455,"0","1","0",0.611791666666667,"0","0","1",0.535,"0","1","1",0.5138
"90","40","1","0","0",0.668807692307692,"1","1","0",0.773115384615385,"1","0","1",0.51709756097561,"1","1","1",0.497052631578947
"91","41","1","0","0",0.628344827586207,"1","1","0",0.649966666666667,"1","0","1",0.527703703703704,"1","1","1",0.509515151515151
"18","42","0","0","0",0.58272,"0","1","0",0.596409090909091,"0","0","1",0.525459459459459,"0","1","1",0.507057142857143
"92","43","1","0","0",0.569961538461538,"1","1","0",0.609454545454545,"1","0","1",0.517069767441861,"1","1","1",0.469730769230769
