"","subject","Freq.0_0_0","Freq.1_0_0","Freq.0_1_0","Freq.1_1_0","Freq.0_0_1","Freq.1_0_1","Freq.0_1_1","Freq.1_1_1","n","errors","error_rate","Err_rate_0_0","Err_rate_1_0","Err_rate_0_1","Err_rate_1_1"
"1",1,6,45,4,54,6,52,3,58,228,19,0.0833333333333333,0.117647058823529,0.0689655172413793,0.103448275862069,0.0491803278688525
"9",3,1,31,1,24,1,33,0,26,117,3,0.0256410256410256,0.03125,0.04,0.0294117647058824,0
"17",4,0,33,0,24,0,27,1,35,120,1,0.00833333333333333,0,0,0,0.0277777777777778
"25",6,0,31,0,32,5,18,0,34,120,5,0.0416666666666667,0,0,0.277777777777778,0
"33",7,1,36,0,30,1,21,2,29,120,4,0.0333333333333333,0.027027027027027,0,0.0454545454545455,0.0645161290322581
"41",8,2,28,2,30,10,25,0,22,119,14,0.117647058823529,0.0666666666666667,0.0625,0.37037037037037,0
"49",9,2,23,2,33,3,23,3,28,117,10,0.0854700854700855,0.08,0.0571428571428571,0.12,0.0967741935483871
"57",100,4,35,2,18,0,22,0,34,115,6,0.0521739130434783,0.102564102564103,0.1,0,0
"65",101,0,23,0,28,2,30,0,37,120,2,0.0166666666666667,0,0,0.0666666666666667,0
"73",102,4,23,2,27,4,27,3,30,120,13,0.108333333333333,0.148148148148148,0.0689655172413793,0.129032258064516,0.0909090909090909
"81",103,2,30,0,23,3,29,0,32,119,5,0.0420168067226891,0.0625,0,0.0967741935483871,0
"89",104,1,24,1,29,0,27,1,34,117,3,0.0256410256410256,0.04,0.0333333333333333,0,0.0285714285714286
"97",105,5,24,3,28,3,28,4,21,116,15,0.129310344827586,0.172413793103448,0.0967741935483871,0.0909090909090909,0.16
"105",107,0,34,0,32,0,31,1,20,118,1,0.00847457627118644,0,0,0,0.0476190476190476
"113",108,2,29,1,28,1,32,0,27,120,4,0.0333333333333333,0.0645161290322581,0.0344827586206897,0.0294117647058824,0
"121",10,3,24,0,36,0,26,4,26,119,7,0.0588235294117647,0.111111111111111,0,0,0.133333333333333
"129",110,6,23,2,23,4,28,0,31,117,12,0.102564102564103,0.206896551724138,0.08,0.117647058823529,0
"137",112,2,31,3,20,4,25,1,34,120,10,0.0833333333333333,0.0606060606060606,0.130434782608696,0.148148148148148,0.0285714285714286
"145",113,2,30,1,29,4,25,0,29,120,7,0.0583333333333333,0.0625,0.0333333333333333,0.148148148148148,0
"153",114,0,27,1,32,2,37,0,21,120,3,0.025,0,0.0303030303030303,0.0540540540540541,0
"161",115,4,20,1,30,2,34,0,27,118,7,0.0593220338983051,0.166666666666667,0.032258064516129,0.0526315789473684,0
"169",116,1,27,1,28,3,31,1,26,118,6,0.0508474576271186,0.0357142857142857,0.0344827586206897,0.09375,0.037037037037037
"177",117,3,24,1,29,0,28,2,28,115,6,0.0521739130434783,0.111111111111111,0.0333333333333333,0,0.0666666666666667
"185",118,1,18,0,32,1,30,0,35,117,2,0.0170940170940171,0.0526315789473684,0,0.032258064516129,0
"193",119,0,41,0,29,3,18,1,28,120,4,0.0333333333333333,0,0,0.166666666666667,0.0344827586206897
"201",11,0,25,1,27,4,30,1,32,120,6,0.05,0,0.0357142857142857,0.133333333333333,0.0303030303030303
"209",120,3,31,1,28,4,22,2,22,113,10,0.0884955752212389,0.0882352941176471,0.0344827586206897,0.16,0.0833333333333333
"217",121,1,25,0,30,1,29,0,32,118,2,0.0169491525423729,0.0384615384615385,0,0.0333333333333333,0
"225",122,5,27,3,31,3,31,0,20,120,11,0.0916666666666667,0.15625,0.0882352941176471,0.0833333333333333,0
"233",123,0,31,0,33,0,33,0,23,120,0,0,0,0,0,0
"241",124,5,21,11,33,10,15,10,15,120,36,0.3,0.192307692307692,0.25,0.5,0.4
"249",125,0,33,0,27,0,21,0,39,120,0,0,0,0,0,0
"257",126,0,26,0,33,5,24,0,32,120,5,0.0416666666666667,0,0,0.208333333333333,0
"265",127,2,30,0,21,0,37,0,30,120,2,0.0166666666666667,0.0625,0,0,0
"273",128,1,32,0,27,2,22,1,35,120,4,0.0333333333333333,0.0303030303030303,0,0.0869565217391304,0.0277777777777778
"281",129,1,26,1,35,5,26,0,24,118,7,0.0593220338983051,0.037037037037037,0.0277777777777778,0.185185185185185,0
"289",12,4,23,1,24,4,21,5,29,111,14,0.126126126126126,0.148148148148148,0.04,0.16,0.147058823529412
"297",130,1,26,2,28,1,27,3,30,118,7,0.0593220338983051,0.037037037037037,0.0666666666666667,0.0357142857142857,0.0909090909090909
"305",131,3,27,1,25,3,31,1,29,120,8,0.0666666666666667,0.1,0.0384615384615385,0.0882352941176471,0.0333333333333333
"313",132,1,34,0,28,1,17,0,39,120,2,0.0166666666666667,0.0285714285714286,0,0.0555555555555556,0
"321",133,0,15,0,29,2,19,9,19,93,11,0.118279569892473,0,0,0.105263157894737,0.321428571428571
"329",134,3,23,2,22,1,34,2,33,120,8,0.0666666666666667,0.115384615384615,0.0833333333333333,0.027027027027027,0.0571428571428571
"337",135,1,29,1,29,2,27,0,30,119,4,0.0336134453781513,0.0333333333333333,0.0333333333333333,0.0714285714285714,0
"345",136,2,38,1,26,1,26,0,26,120,4,0.0333333333333333,0.05,0.037037037037037,0.0357142857142857,0
"353",137,2,32,0,27,1,28,0,30,120,3,0.025,0.0588235294117647,0,0.0333333333333333,0
"361",138,0,31,1,26,1,27,0,33,119,2,0.0168067226890756,0,0.037037037037037,0.037037037037037,0
"369",139,2,26,1,32,2,27,0,29,119,5,0.0420168067226891,0.0714285714285714,0.0303030303030303,0.0689655172413793,0
"377",13,3,22,1,27,4,35,0,26,118,8,0.0677966101694915,0.12,0.0357142857142857,0.105263157894737,0
"385",140,6,30,3,20,4,36,0,21,120,13,0.108333333333333,0.166666666666667,0.130434782608696,0.0952380952380952,0
"393",141,0,26,0,33,0,35,1,24,119,1,0.00840336134453781,0,0,0,0.04
"401",142,3,21,2,27,5,30,2,30,120,12,0.1,0.125,0.0689655172413793,0.151515151515152,0.0625
"409",143,4,29,1,32,2,23,2,23,116,9,0.0775862068965517,0.121212121212121,0.0303030303030303,0.0740740740740741,0.08
"417",144,10,23,6,19,1,26,11,23,119,28,0.235294117647059,0.303030303030303,0.24,0.0277777777777778,0.323529411764706
"425",145,1,37,2,22,2,24,0,31,119,5,0.0420168067226891,0.0263157894736842,0.0833333333333333,0.08,0
"433",146,8,26,1,26,3,27,0,29,120,12,0.1,0.235294117647059,0.037037037037037,0.0857142857142857,0
"441",147,1,33,0,26,0,28,3,28,119,4,0.0336134453781513,0.0294117647058824,0,0,0.0967741935483871
"449",149,4,28,1,24,9,24,3,26,119,17,0.142857142857143,0.125,0.04,0.321428571428571,0.103448275862069
"457",14,0,24,0,31,0,30,0,35,120,0,0,0,0,0,0
"465",150,0,35,1,28,2,27,0,27,120,3,0.025,0,0.0344827586206897,0.0740740740740741,0
"473",15,2,33,0,26,2,29,0,28,120,4,0.0333333333333333,0.0571428571428571,0,0.0645161290322581,0
"481",16,1,25,0,17,1,33,3,39,119,5,0.0420168067226891,0.0384615384615385,0,0.0294117647058824,0.0714285714285714
"489",17,1,30,1,35,0,22,0,31,120,2,0.0166666666666667,0.032258064516129,0.0277777777777778,0,0
"497",18,7,31,4,24,0,18,6,27,117,17,0.145299145299145,0.184210526315789,0.142857142857143,0,0.181818181818182
"505",19,1,26,0,40,1,23,0,29,120,2,0.0166666666666667,0.037037037037037,0,0.0416666666666667,0
"513",20,1,31,0,33,1,20,1,33,120,3,0.025,0.03125,0,0.0476190476190476,0.0294117647058824
"521",21,1,24,0,23,4,32,0,36,120,5,0.0416666666666667,0.04,0,0.121212121212121,0
"529",22,1,31,2,32,1,25,0,27,119,4,0.0336134453781513,0.03125,0.0588235294117647,0.0384615384615385,0
"537",23,3,31,2,16,1,32,0,33,118,6,0.0508474576271186,0.0882352941176471,0.111111111111111,0.0285714285714286,0
"545",24,0,18,1,29,0,36,0,33,117,1,0.00854700854700855,0,0.0333333333333333,0,0
"553",25,0,29,0,31,0,31,0,29,120,0,0,0,0,0,0
"561",26,1,25,2,30,5,26,0,30,119,8,0.0672268907563025,0.0384615384615385,0.0625,0.185185185185185,0
"569",27,1,28,1,22,0,32,3,32,119,5,0.0420168067226891,0.0344827586206897,0.0434782608695652,0,0.0857142857142857
"577",28,0,19,2,32,5,21,0,37,116,7,0.0603448275862069,0,0.0588235294117647,0.238095238095238,0
"585",29,3,22,0,36,2,28,2,25,118,7,0.0593220338983051,0.12,0,0.0645161290322581,0.0740740740740741
"593",30,1,27,0,28,2,28,0,34,120,3,0.025,0.0357142857142857,0,0.0689655172413793,0
"601",31,0,24,0,38,0,28,0,30,120,0,0,0,0,0,0
"609",32,0,27,1,31,1,29,1,28,118,3,0.0254237288135593,0,0.03125,0.0344827586206897,0.0344827586206897
"617",33,6,29,5,16,6,28,5,22,117,22,0.188034188034188,0.171428571428571,0.238095238095238,0.176470588235294,0.185185185185185
"625",34,1,30,0,31,3,29,1,23,118,5,0.0423728813559322,0.032258064516129,0,0.1,0.0416666666666667
"633",35,3,16,0,35,2,28,4,25,113,9,0.079646017699115,0.157894736842105,0,0.0645161290322581,0.137931034482759
"641",36,7,22,8,26,9,19,3,25,119,27,0.226890756302521,0.241379310344828,0.235294117647059,0.346153846153846,0.107142857142857
"649",37,2,32,0,25,2,25,0,34,120,4,0.0333333333333333,0.0588235294117647,0,0.0740740740740741,0
"657",38,9,21,11,19,16,21,3,17,117,39,0.333333333333333,0.3,0.366666666666667,0.533333333333333,0.15
"665",39,4,33,2,24,1,29,2,25,120,9,0.075,0.108108108108108,0.0769230769230769,0.0303030303030303,0.0740740740740741
"673",40,1,26,5,26,1,41,0,19,119,7,0.0588235294117647,0.037037037037037,0.161290322580645,0.0238095238095238,0
"681",41,0,29,0,30,1,27,0,33,120,1,0.00833333333333333,0,0,0.037037037037037,0
"689",42,1,25,0,22,0,37,0,35,120,1,0.00833333333333333,0.0384615384615385,0,0,0
"697",43,1,26,0,22,1,43,0,26,119,2,0.0168067226890756,0.037037037037037,0,0.0227272727272727,0
"705",44,0,24,1,26,2,28,0,27,108,3,0.0277777777777778,0,0.037037037037037,0.0714285714285714,0
"713",45,6,18,1,15,2,29,1,28,100,10,0.1,0.25,0.0625,0.0571428571428571,0.0344827586206897
"721",46,6,24,0,37,5,18,2,28,120,13,0.108333333333333,0.2,0,0.208333333333333,0.0666666666666667
"729",47,1,31,2,23,2,28,0,32,119,5,0.0420168067226891,0.03125,0.08,0.0689655172413793,0
"737",49,5,28,8,21,7,18,7,23,117,27,0.230769230769231,0.151515151515152,0.275862068965517,0.304347826086957,0.233333333333333
"745",50,3,32,0,29,2,19,1,34,120,6,0.05,0.0857142857142857,0,0.0909090909090909,0.0285714285714286
"753",52,7,28,3,14,2,30,0,30,114,12,0.105263157894737,0.2,0.176470588235294,0.0540540540540541,0
"761",53,6,22,5,25,4,22,5,31,120,20,0.166666666666667,0.214285714285714,0.166666666666667,0.142857142857143,0.138888888888889
"769",54,1,17,2,33,2,29,0,36,120,5,0.0416666666666667,0.0555555555555556,0.0571428571428571,0.0666666666666667,0
"777",55,0,38,0,35,1,23,0,23,120,1,0.00833333333333333,0,0,0.0434782608695652,0
"785",56,0,38,0,27,2,29,1,23,120,3,0.025,0,0,0.0689655172413793,0.0416666666666667
"793",58,5,33,0,22,2,27,2,28,119,9,0.0756302521008403,0.131578947368421,0,0.0625,0.0666666666666667
"801",59,2,28,1,19,4,30,0,35,119,7,0.0588235294117647,0.0666666666666667,0.05,0.125,0
"809",5,4,25,2,28,4,25,1,31,120,11,0.0916666666666667,0.137931034482759,0.0666666666666667,0.137931034482759,0.03125
"817",60,1,27,1,32,2,32,0,25,120,4,0.0333333333333333,0.0357142857142857,0.0303030303030303,0.0606060606060606,0
"825",61,0,39,1,32,6,19,0,23,120,7,0.0583333333333333,0,0.0303030303030303,0.315789473684211,0
"833",62,0,42,0,23,0,25,0,29,119,0,0,0,0,0,0
"841",63,2,26,4,25,9,20,3,31,120,18,0.15,0.0714285714285714,0.137931034482759,0.409090909090909,0.0882352941176471
"849",64,2,30,3,33,1,27,1,23,120,7,0.0583333333333333,0.0625,0.0833333333333333,0.0344827586206897,0.0416666666666667
"857",65,0,26,1,34,2,34,1,22,120,4,0.0333333333333333,0,0.0285714285714286,0.0588235294117647,0.0434782608695652
"865",66,3,20,5,23,8,33,0,26,118,16,0.135593220338983,0.130434782608696,0.178571428571429,0.222222222222222,0
"873",67,1,26,1,26,0,30,0,36,120,2,0.0166666666666667,0.037037037037037,0.037037037037037,0,0
"881",68,0,30,2,24,1,37,1,25,120,4,0.0333333333333333,0,0.0769230769230769,0.027027027027027,0.0384615384615385
