  dataset zr_black zr_white  a_black v_black_gun t0_black_gun      st0  a_white v_white_phone t0_white_phone v_black_phone t0_black_phone v_white_gun t0_white_gun  penalty      fit     time   method
        1   0.5290   0.4831   0.8135  -4.4256   0.3432   0.1222   0.4379   4.2312   0.4720   4.5052   0.4668  -3.9412   0.4189   0.0000 -151.2038   0.5964       ML
       10   0.6183   0.3198   0.6430  -4.2934   0.3474   0.1409   0.9325   4.1869   0.3828   5.3216   0.4694  -3.7447   0.3964   0.0000 -134.6863   0.6475       ML
      100   0.3440   0.5683   0.8525  -4.3900   0.3544   0.1086   0.7470   2.7466   0.4598   4.2627   0.4983  -3.4752   0.3690   0.0000 -130.8157   0.9705       ML
      101   0.3240   0.4560   0.9093  -6.0767   0.3394   0.0891   0.6436   3.6419   0.3782   5.8118   0.4323  -3.0674   0.3564   0.0000 -158.0423   0.5209       ML
      102   0.3266   0.6044   0.7210  -7.1755   0.3786   0.0878   0.7533   6.3509   0.4556   7.4960   0.4475  -5.1539   0.3755   0.0000 -200.0151   0.4801       ML
      103   0.5067   0.1997   0.9129  -7.5558   0.4175   0.1447   0.6256   5.7272   0.5062   3.8374   0.4511  -2.4582   0.4609   0.0000 -131.9252   0.5772       ML
      104   0.3938   0.3886   0.6945  -3.9180   0.4176   0.2519   0.7050   4.4211   0.4959   6.0807   0.5294  -3.2462   0.4644   0.0000 -95.4985   1.5815       ML
      105   0.2787   0.1578   0.6379  -2.6277   0.4078   0.1069   0.7019  10.1153   0.5467   6.3526   0.5478  -2.8457   0.4603   0.0000 -137.7275   0.6741       ML
      106   0.2597   0.6489   0.7102  -4.5024   0.4323   0.1488   0.8451   4.4499   0.5426  49.9998   0.6173  -4.5326   0.4082   0.0000 -145.7509   0.8732       ML
      107   0.7345   0.8067   0.8115  -7.5396   0.4134   0.1501   1.0219   3.8025   0.4483   6.3277   0.5149  -5.9231   0.4176   0.0000 -157.4838   0.7938       ML
      108   0.5510   0.4356   0.6783  -3.3993   0.3700   0.2544   0.8787   3.1939   0.4522   3.9533   0.5476  -2.6596   0.3962   0.0000 -55.9437   1.3219       ML
      109   0.3249   0.5622   3.0524 -13.1951   0.3440   0.1174   0.9554   2.8604   0.4366   9.5403   0.3378  -5.9074   0.4016   0.0000 -160.5128   0.9370       ML
       11   0.3002   0.5723   0.8257  -3.9626   0.3108   0.0582   0.7125   2.7528   0.3900   4.7244   0.3978  -5.5459   0.3417   0.0000 -167.8288   0.3665       ML
      110   0.3456   0.5313   0.9671  -4.2894   0.4309   0.1497   0.9670   2.5204   0.3767   3.5662   0.4120  -2.3422   0.3510   0.0000 -101.0422   0.7778       ML
      111   0.8375   0.6800   2.8616 -15.5134   0.3232   0.1426   1.5666   7.9537   0.5195   8.9230   0.5445  -8.0640   0.3931   0.0000 -180.9698   1.0283       ML
      112   0.2976   0.6720   0.6244   0.0798   0.3408   0.1813   0.5123   2.6569   0.4169   3.4728   0.4066  -3.3102   0.3741   0.0000 -72.3065   0.9940       ML
      113   0.1263   0.3651   1.2938  -4.4665   0.4492   0.1584   1.2205  10.7923   0.4919  15.9082   0.5083  -6.3237   0.4546   0.0000 -173.2507   0.7090       ML
      114   0.4596   0.7362   0.9521 -10.2673   0.4049   0.1229   0.6317   3.9347   0.5066   7.5147   0.4787  -5.8300   0.4216   0.0000 -183.3090   0.8917       ML
      115   0.0634   0.3852   4.6199 -12.7321   0.4368   0.0897   0.7452   5.5756   0.4593  11.1979   0.1811  -4.2039   0.4410   0.0000 -193.2309   0.7020       ML
      116   0.6245   0.5672   0.5671  -9.8350   0.4075   0.1736   0.7226   3.6711   0.5044   6.3539   0.5668  -4.6253   0.3930   0.0000 -148.6288   1.2307       ML
      117   0.1396   0.6772   1.0266  -5.1686   0.4777   0.1822   0.3140   8.2713   0.5542  12.8620   0.5326  -9.6272   0.5321   0.0000 -152.2613   0.9371       ML
      118   0.3134   0.4462   0.4634  -2.9031   0.4369   0.2036   0.7334   4.8317   0.4637   8.4111   0.5551  -4.3200   0.4428   0.0000 -122.6382   1.2708       ML
      119   0.5598   0.6556   0.5780  -6.8952   0.4356   0.2060   0.5395   2.8286   0.5088   4.6124   0.5201  -5.9610   0.4546   0.0000 -122.0626   1.2134       ML
      120   0.2080   0.3789   2.6026  -5.4999   0.3601   0.0003   0.8512   4.5977   0.4636   7.6751   0.3050  -3.2346   0.4184   0.0000 -167.7942   0.2548       ML
      121   0.8671   0.7751   0.6496  -4.5424   0.5214   0.2546   0.2096  22.3222   0.6175   6.3307   0.5513 -15.1155   0.5737   0.0000 -64.1666   0.5947       ML
      122   0.5205   0.2138   0.6533  -7.4929   0.3884   0.2258   0.7793   7.4618   0.5412   2.3804   0.4736  -2.9939   0.4355   0.0000 -104.7370   1.3398       ML
      123   0.2070   0.2237   0.7450  -4.6715   0.4013   0.1563   1.1243   6.1435   0.4111  12.5127   0.5599  -2.4171   0.3803   0.0000 -147.5456   1.2078       ML
      124   0.2879   0.4776   0.9233  -4.6295   0.3429   0.1043   0.6816   4.4340   0.4661   6.5637   0.4750  -4.6328   0.4117   0.0000 -163.4080   0.6490       ML
      125   0.3374   0.2940   1.0067  -7.6829   0.4423   0.1376   0.7124   5.9522   0.5028   7.3806   0.4971  -4.2601   0.4845   0.0000 -169.1722   1.0057       ML
      126   0.4835   0.5981   1.0831  -9.3514   0.4301   0.1268   0.8560   8.4391   0.5395   9.6013   0.5684  -5.0965   0.4485   0.0000 -175.9597   0.8812       ML
      127   0.1905   0.2570   1.1110  -6.3764   0.4692   0.1340   0.6136   7.4390   0.5102   7.8949   0.4957  -2.5268   0.4883   0.0000 -157.6907   0.8442       ML
      128   0.3164   0.2675   1.0230  -5.4461   0.3573   0.1972   0.6750   4.6446   0.4146   3.3430   0.3529  -2.0591   0.3924   0.0000 -94.6849   1.2226       ML
      129   0.5042   0.6476   0.4397  -7.0081   0.5186   0.1094   4.5627  14.2520   0.5058  49.9877   0.6290 -10.8892   0.3178   0.0000 -173.1921   0.6496       ML
